Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
1985,198506,"傑夫
(JEFF)",1,"1985-07-28 09:00
1985-07-30 20:50",中度,967,35,200,80,11
1985,198504,"海爾
(HAL)",5,"1985-06-21 09:50
1985-06-24 04:00",中度,955,48,350,250,12
1984,198425,"比爾
(BILL)",---,"1984-11-17 15:00
1984-11-18 21:00",強烈,910,51,200,100,6
1984,198412,"裘恩
(JUNE)",5,"1984-08-28 16:10
1984-08-31 04:00",輕度,983,32,250,---,11
1984,198410,"郝麗
(HOLLY)",6,"1984-08-17 15:00
1984-08-19 21:30",中度,964,35,350,200,10
1984,198409,"傑魯得
(GERALD)",---,"1984-08-16 15:00
1984-08-19 09:50",輕度,985,28,180,---,12
1984,198408,"芙瑞達
(FREDA)",2,"1984-08-06 15:10
1984-08-08 09:40",輕度,982,25,200,---,8
1984,198403,"亞力士
(ALEX)",6,"1984-07-02 21:00
1984-07-04 09:00",中度,980,35,150,80,8
1984,198402,"魏恩
(WYNNE)",4,"1984-06-21 14:45
1984-06-24 14:25",輕度,982,28,150,---,13
1983,198310,"福萊斯
(FORREST)",---,"1983-09-23 21:10
1983-09-27 04:30",強烈,883,65,400,200,14
1983,198309,"艾倫
(ELLEN)",5,"1983-09-05 21:00
1983-09-08 09:10",強烈,928,63,250,120,11
1983,198305,"艾貝
(ABBY)",---,"1983-08-09 16:00
1983-08-13 04:30",強烈,888,67,400,200,15
